                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.77267,                0.61071,                 1.0545,                0.90973,                0.74818,                0.83197,                0.55263,                 1.1395,                0.70667,                 1.2709,             0.00036057,             0.00036057,             0.00036057
                     53,                0.76103,                0.60923,                 1.0519,                0.88011,                0.75811,                0.82592,                0.55298,                 1.1394,                0.69777,                 1.2949,              0.0003535,              0.0003535,              0.0003535
                     54,                0.76679,                0.60214,                 1.0526,                0.88261,                0.76935,                0.83241,                0.55101,                 1.1189,                0.67272,                  1.271,             0.00034643,             0.00034643,             0.00034643
                     55,                0.75851,                0.59134,                 1.0514,                0.90187,                0.74916,                0.83598,                0.55735,                  1.119,                0.68691,                  1.277,             0.00033936,             0.00033936,             0.00033936
                     56,                0.75171,                0.59133,                 1.0485,                0.90397,                0.76789,                0.83896,                0.56892,                 1.1031,                0.66489,                 1.2463,              0.0003323,              0.0003323,              0.0003323
                     57,                0.75438,                 0.5877,                 1.0479,                0.92366,                0.75791,                0.83472,                0.56655,                 1.0976,                0.64389,                 1.2452,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.7493,                0.58585,                 1.0448,                0.90441,                0.76457,                0.82797,                0.56149,                 1.1079,                0.65763,                 1.2602,             0.00031816,             0.00031816,             0.00031816
                     59,                0.74304,                0.57751,                 1.0401,                0.91988,                0.76654,                0.83888,                0.57757,                 1.1098,                0.65914,                 1.2503,             0.00031109,             0.00031109,             0.00031109
                     60,                0.74025,                0.58023,                 1.0403,                0.89901,                0.76999,                0.84236,                0.56979,                 1.0938,                0.66498,                 1.2491,             0.00030402,             0.00030402,             0.00030402
                     61,                0.72282,                0.56352,                 1.0317,                0.90043,                 0.7689,                0.83484,                0.56559,                 1.1339,                0.67838,                 1.2715,             0.00029695,             0.00029695,             0.00029695
                     62,                0.72218,                0.56133,                 1.0339,                0.89114,                 0.7888,                0.83879,                0.57687,                 1.1151,                0.68259,                 1.2538,             0.00028988,             0.00028988,             0.00028988
                     63,                0.72365,                0.56813,                  1.035,                0.91819,                 0.7798,                0.85121,                 0.5704,                 1.1202,                0.65003,                 1.2467,             0.00028282,             0.00028282,             0.00028282
                     64,                0.71935,                 0.5514,                  1.031,                0.91727,                0.76259,                0.83895,                0.58006,                 1.0686,                0.65859,                 1.2258,             0.00027575,             0.00027575,             0.00027575
                     65,                0.72231,                0.55085,                 1.0269,                0.92741,                0.77451,                0.84906,                0.57606,                 1.0882,                0.65706,                 1.2425,             0.00026868,             0.00026868,             0.00026868
                     66,                0.72098,                0.55076,                  1.029,                0.91809,                0.77593,                0.85133,                0.58616,                 1.0545,                0.62634,                 1.2239,             0.00026161,             0.00026161,             0.00026161
